,Open_kospi,High_kospi,Low_kospi,Close_kospi,Volume_kospi,Dividends_kospi,Stock Splits_kospi,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Dividends_snp,Stock Splits_snp,kospi_rise,snp_rise
2020-06-17,2133.179931640625,2154.3701171875,2105.260009765625,2141.050048828125,927200,0.0,0.0,3131.0,3153.449951171875,3076.06005859375,3124.739990234375,5845810000,0.0,0.0,1,0
2020-06-18,2134.35009765625,2145.1298828125,2120.2900390625,2133.47998046875,767100,0.0,0.0,3136.1298828125,3141.159912109375,3108.030029296875,3113.489990234375,4560450000,0.0,0.0,0,0
2020-06-19,2153.090087890625,2153.570068359375,2108.909912109375,2141.320068359375,1079300,0.0,0.0,3101.639892578125,3120.0,3093.510009765625,3115.340087890625,4448690000,0.0,0.0,0,1
2020-06-22,2126.3798828125,2142.8798828125,2122.10009765625,2126.72998046875,789400,0.0,0.0,3140.2900390625,3155.530029296875,3083.110107421875,3097.739990234375,8346650000,0.0,0.0,1,0
2020-06-23,2149.1298828125,2158.14990234375,2110.510009765625,2131.239990234375,917600,0.0,0.0,3094.419921875,3120.919921875,3079.389892578125,3117.860107421875,4686690000,0.0,0.0,0,1
2020-06-24,2145.929931640625,2171.860107421875,2143.909912109375,2161.510009765625,913900,0.0,0.0,3138.699951171875,3154.89990234375,3127.1201171875,3131.2900390625,4711850000,0.0,0.0,1,0
2020-06-25,2130.449951171875,2143.330078125,2112.3701171875,2112.3701171875,1017700,0.0,0.0,3114.39990234375,3115.010009765625,3032.1298828125,3050.330078125,5597680000,0.0,0.0,0,0
2020-06-26,2137.469970703125,2142.0400390625,2115.25,2134.64990234375,761000,0.0,0.0,3046.60009765625,3086.25,3024.010009765625,3083.760009765625,4847690000,0.0,0.0,0,1
2020-06-29,2105.5400390625,2120.5,2087.840087890625,2093.47998046875,643200,0.0,0.0,3073.199951171875,3073.72998046875,3004.6298828125,3009.050048828125,8107850000,0.0,0.0,0,0
2020-06-30,2124.3798828125,2134.3798828125,2108.260009765625,2108.330078125,708600,0.0,0.0,3018.590087890625,3053.889892578125,2999.739990234375,3053.239990234375,4473970000,0.0,0.0,0,1
2020-07-01,2128.81005859375,2133.550048828125,2101.330078125,2106.699951171875,1116200,0.0,0.0,3050.199951171875,3111.510009765625,3047.830078125,3100.2900390625,4705850000,0.0,0.0,0,1
2020-07-02,2116.719970703125,2135.3701171875,2113.97998046875,2135.3701171875,1092000,0.0,0.0,3105.919921875,3128.43994140625,3101.169921875,3115.860107421875,4449230000,0.0,0.0,1,1
2020-07-03,2147.889892578125,2153.5400390625,2135.300048828125,2152.409912109375,770100,0.0,0.0,3143.639892578125,3165.81005859375,3124.52001953125,3130.010009765625,4197720000,0.0,0.0,1,0
2020-07-07,2202.0400390625,2206.7900390625,2164.030029296875,2164.169921875,847400,0.0,0.0,3155.2900390625,3182.590087890625,3155.2900390625,3179.719970703125,4759160000,0.0,0.0,0,1
2020-07-08,2166.760009765625,2173.830078125,2150.889892578125,2158.8798828125,677800,0.0,0.0,3166.43994140625,3184.14990234375,3142.929931640625,3145.320068359375,4571330000,0.0,0.0,0,0
2020-07-09,2171.14990234375,2181.47998046875,2166.739990234375,2167.89990234375,619400,0.0,0.0,3153.070068359375,3171.800048828125,3136.530029296875,3169.93994140625,4937310000,0.0,0.0,0,1
2020-07-10,2171.43994140625,2171.52001953125,2140.2900390625,2150.25,887000,0.0,0.0,3176.169921875,3179.780029296875,3115.699951171875,3152.050048828125,4843650000,0.0,0.0,0,0
2020-07-13,2170.510009765625,2188.800048828125,2163.070068359375,2186.06005859375,650200,0.0,0.0,3152.469970703125,3186.820068359375,3136.219970703125,3185.0400390625,4524190000,0.0,0.0,1,1
2020-07-14,2176.429931640625,2183.610107421875,2165.60009765625,2183.610107421875,811000,0.0,0.0,3205.080078125,3235.320068359375,3149.429931640625,3155.219970703125,4902440000,0.0,0.0,1,0
2020-07-15,2208.72998046875,2216.969970703125,2190.659912109375,2201.8798828125,830300,0.0,0.0,3141.110107421875,3200.949951171875,3127.659912109375,3197.52001953125,4507140000,0.0,0.0,0,1
2020-07-16,2203.300048828125,2207.340087890625,2177.820068359375,2183.760009765625,784600,0.0,0.0,3225.97998046875,3238.280029296875,3200.760009765625,3226.56005859375,4686830000,0.0,0.0,0,1
2020-07-17,2187.85009765625,2204.199951171875,2187.85009765625,2201.18994140625,569300,0.0,0.0,3208.360107421875,3220.389892578125,3198.590087890625,3215.570068359375,3972860000,0.0,0.0,1,1
2020-07-20,2209.590087890625,2209.590087890625,2183.830078125,2198.199951171875,686800,0.0,0.0,3224.2099609375,3233.52001953125,3205.64990234375,3224.72998046875,4012850000,0.0,0.0,0,1
2020-07-21,2219.18994140625,2234.860107421875,2214.280029296875,2228.830078125,918500,0.0,0.0,3224.2900390625,3258.610107421875,3215.159912109375,3251.840087890625,3979340000,0.0,0.0,1,1
2020-07-22,2228.199951171875,2238.860107421875,2221.6201171875,2228.659912109375,856200,0.0,0.0,3268.52001953125,3277.2900390625,3247.77001953125,3257.300048828125,4556610000,0.0,0.0,1,0
2020-07-23,2227.239990234375,2227.239990234375,2202.989990234375,2216.18994140625,934400,0.0,0.0,3254.860107421875,3279.320068359375,3253.10009765625,3276.02001953125,4267160000,0.0,0.0,0,1
2020-07-24,2196.72998046875,2219.570068359375,2195.489990234375,2200.43994140625,1001000,0.0,0.0,3271.639892578125,3279.989990234375,3222.659912109375,3235.659912109375,4296760000,0.0,0.0,1,0
2020-07-27,2203.47998046875,2231.25,2203.47998046875,2217.860107421875,928600,0.0,0.0,3218.580078125,3227.260009765625,3200.050048828125,3215.6298828125,3689410000,0.0,0.0,1,0
2020-07-28,2238.18994140625,2266.0,2237.2099609375,2256.989990234375,866700,0.0,0.0,3219.840087890625,3241.429931640625,3214.25,3239.409912109375,3970310000,0.0,0.0,1,1
2020-07-29,2258.35009765625,2276.7900390625,2252.239990234375,2263.159912109375,899300,0.0,0.0,3234.27001953125,3243.719970703125,3216.169921875,3218.43994140625,4053180000,0.0,0.0,1,0
