Date,Open,High,Low,Close,Volume,Date_shifted,Volume_MA_5,Volume_MA_slope_5,Volume_MA_20,Volume_MA_slope_20,Volume_MA_60,Volume_MA_slope_60,Volume_MA_240,Volume_MA_slope_240,Close_MA_5,Close_MA_slope_5,Close_MA_20,Close_MA_slope_20,Close_MA_60,Close_MA_slope_60,Close_MA_240,Close_MA_slope_240,RSI_Label,ud,Close_ud,daily_change_ratio,Actual_rate,Label_rate,Actual_pmi,Label_pmi,Actual_cpi,Label_cpi,Event,Season,Volume_Sector,ratio_change_sector,RSI
2021-12-31,4775.2099609375,4786.830078125,4765.75,4766.18017578125,2677820000,2022-01-03 00:00:00-05:00,2848858000.0,-47044000.0,2925277142.857143,-199230000.0,4084031000.0,-22196833.333333492,4389021291.666667,-7868208.333333015,4783.10205078125,8.078027343750364,4762.551478794643,16.70717075892844,4619.469986979167,6.710506184896076,4297.766124471029,3.809708658854106,1,-1,0,-0.0018909713353163,0.25,7.0,61.1,0.0,6.8,1.0,,2.0,0,1,54.86072523492921
2022-01-03,4778.14013671875,4796.64013671875,4758.169921875,4796.56005859375,3831020000,2022-01-04 00:00:00-05:00,3061004000.0,212146000.0,2998335714.285714,73058571.42857122,4083819000.0,-212000.0,4386226541.666667,-2794750.0,4784.17607421875,1.074023437499818,4776.837193080357,14.285714285713766,4626.083325195313,6.613338216146076,4301.6973327636715,3.931208292642623,1,1,1,0.0038550401093194,0.25,7.0,61.1,0.0,6.8,1.0,,2.0,1,2,61.71731086226967
2022-01-04,4804.509765625,4818.6201171875,4774.27001953125,4793.5400390625,4683170000,2022-01-05 00:00:00-05:00,3456054000.0,395050000.0,3251211428.571429,252875714.28571463,4107202500.0,23383500.0,4384444375.0,-1782166.6666669846,4785.6140625,1.43798828125,4786.515764508928,9.678571428571558,4632.7866617838545,6.703336588541788,4305.664291381836,3.9669586181644263,1,-1,0,-0.0022832145416761,0.25,7.0,58.7,2.0,6.8,1.0,2.0,2.0,2,1,65.55339003071109
2022-01-05,4787.990234375,4797.7001953125,4699.43994140625,4700.580078125,4887960000,2022-01-06 00:00:00-05:00,3840984000.0,384930000.0,3553735714.285714,302524285.7142854,4133969000.0,26766500.0,4375640708.333333,-8803666.666666985,4767.11806640625,-18.495996093749454,4773.571498325893,-12.944266183035325,4638.4431640625,5.656502278645348,4309.186041259765,3.5217498779293237,1,-1,0,-0.0182561266776288,0.25,7.0,58.7,2.0,6.8,1.0,,2.0,3,0,49.12512246442195
2022-01-06,4693.39013671875,4725.009765625,4671.259765625,4696.0498046875,4295280000,2022-01-07 00:00:00-05:00,4075050000.0,234066000.0,3780501428.571429,226765714.28571463,4146249500.0,12280500.0,4367964791.666667,-7675916.666666031,4750.58203125,-16.536035156250364,4760.671456473215,-12.900041852678442,4644.1998291015625,5.756665039062682,4312.712831624349,3.526790364583576,1,1,0,0.0005666837597714,0.25,7.0,58.7,2.0,6.8,1.0,,2.0,2,2,52.77607802366454
2022-01-07,4697.66015625,4707.9501953125,4662.740234375,4677.02978515625,4181510000,2022-01-10 00:00:00-05:00,4375788000.0,300738000.0,3954530000.0,174028571.42857122,4155606833.3333335,9357333.333333492,4343818916.666667,-24145875.0,4732.751953125,-17.830078125,4744.095703125,-16.575753348214675,4649.420328776042,5.22049967447947,4316.572247314453,3.85941569010447,1,-1,0,-0.0043916269818501,0.25,7.0,58.7,2.0,6.8,1.0,,2.0,2,1,56.07477028798428
2022-01-10,4655.33984375,4673.02001953125,4582.240234375,4670.2900390625,4511810000,2022-01-11 00:00:00-05:00,4511946000.0,136158000.0,4152652857.142857,198122857.14285707,4170832333.3333335,15225500.0,4333481583.333333,-10337333.33333397,4707.49794921875,-25.254003906249636,4728.604282924107,-15.491420200893115,4653.2875,3.867171223958394,4320.251039632161,3.67879231770803,1,1,0,0.0032114079346046,0.25,7.0,58.7,2.0,6.8,1.0,,2.0,2,2,62.22595803052856
2022-01-11,4669.14013671875,4714.1298828125,4638.27001953125,4713.06982421875,4101590000,2022-01-12 00:00:00-05:00,4395630000.0,-116316000.0,4356048571.428572,203395714.28571463,4175535833.3333335,4703500.0,4322890833.333333,-10590750.0,4691.40390625,-16.094042968750728,4721.01708984375,-7.587193080356883,4657.315828450521,4.028328450520348,4324.412830607096,4.161790974934775,1,1,1,0.0094085176742781,0.25,7.0,58.7,2.0,6.8,1.0,,2.0,1,3,58.403974957255066
2022-01-12,4728.58984375,4748.830078125,4706.7099609375,4726.35009765625,4048220000,2022-01-13 00:00:00-05:00,4227682000.0,-167948000.0,4387077142.857142,31028571.428570747,4181972666.6666665,6436833.333333015,4317107458.333333,-5783375.0,4696.55791015625,5.154003906250182,4710.987095424107,-10.029994419643115,4661.313997395833,3.9981689453125,4328.38153889974,3.968708292643896,1,-1,1,-0.0004736604712524,0.25,7.0,58.7,2.0,7.0,1.0,1.0,2.0,1,1,54.30778833444423
2022-01-13,4733.56005859375,4744.1298828125,4650.2900390625,4659.02978515625,4251730000,2022-01-14 00:00:00-05:00,4218972000.0,-8710000.0,4325442857.142858,-61634285.7142849,4195182666.6666665,13210000.0,4311847625.0,-5259833.333333015,4689.15390625,-7.404003906250182,4691.771344866072,-19.215750558035325,4663.6373291015625,2.323331705729288,4331.851204427084,3.46966552734375,1,-1,0,-0.0157450782318037,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,2,0,41.30408512424553
2022-01-14,4637.990234375,4665.1298828125,4614.75,4662.85009765625,4338490000,2022-01-17 00:00:00-05:00,4250368000.0,31396000.0,4246947142.857143,-78495714.28571463,4206311500.0,11128833.333333492,4309654375.0,-2193250.0,4686.31796875,-2.8359375,4686.38134765625,-5.3899972098215585,4665.7483317057295,2.11100260416697,4335.320705159505,3.469500732421693,1,1,1,0.0053600508032548,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,2,2,30.08878384315865
2022-01-18,4632.240234375,4632.240234375,4568.7001953125,4577.10986328125,4748700000,2022-01-19 00:00:00-05:00,4297746000.0,47378000.0,4311721428.571428,64774285.71428537,4221751000.0,15439500.0,4309110458.333333,-543916.6666669846,4667.68193359375,-18.636035156249815,4669.389927455357,-16.991420200893117,4666.203833007812,0.4555013020826663,4338.259746297201,2.9390411376953125,0,-1,0,-0.011901449040712,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,3,0,24.051305900105845
2022-01-19,4588.02978515625,4611.5498046875,4530.2001953125,4532.759765625,4465740000,2022-01-20 00:00:00-05:00,4370576000.0,72830000.0,4352325714.285714,40604285.71428585,4233543000.0,11792000.0,4307386583.333333,-1723875.0,4631.619921875,-36.06201171875,4648.779924665178,-20.61000279017844,4666.001497395833,-0.2023356119789241,4340.951119995118,2.691373697916788,0,-1,0,-0.0120465694686783,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,2,0,20.475497922576523
2022-01-20,4547.35009765625,4602.10986328125,4477.9501953125,4482.72998046875,4640870000,2022-01-21 00:00:00-05:00,4489106000.0,118530000.0,4370762857.142858,18437142.8571434,4245900833.3333335,12357833.333333492,4307355375.0,-31208.33333301544,4582.8958984375,-48.724023437499454,4621.985630580357,-26.79429408482156,4664.6056640625,-1.3958333333330302,4343.31420288086,2.3630828857421875,0,-1,0,-0.0142104996975724,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,2,0,18.94152558524624
2022-01-21,4471.3798828125,4494.52001953125,4395.33984375,4397.93994140625,5589100000,2022-01-24 00:00:00-05:00,4756580000.0,267474000.0,4583264285.714286,212501428.5714283,4274390166.6666665,28489333.333333015,4311608625.0,4253250.0,4530.6779296875,-52.21796875000018,4576.967075892857,-45.0185546875,4661.6581624348955,-2.9475016276046517,4345.342161051432,2.027958170572674,0,-1,0,-0.0164244468891013,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,3,0,16.448015859598414
2022-01-24,4356.31982421875,4417.35009765625,4222.6201171875,4410.1298828125,6928110000,2022-01-25 00:00:00-05:00,5274504000.0,517924000.0,4994677142.857142,411412857.1428566,4319424500.0,45034333.33333349,4320321291.666667,8712666.666666985,4480.13388671875,-50.544042968750546,4531.792759486607,-45.17431640625,4659.298990885417,-2.3591715494785603,4347.426536051432,2.0843749999994543,0,1,1,0.0123521827517336,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,3,3,13.583542930345686
2022-01-25,4366.64013671875,4411.009765625,4287.10986328125,4356.4501953125,5145050000,2022-01-26 00:00:00-05:00,5353774000.0,79270000.0,5122294285.714286,127617142.8571434,4336292833.333333,16868333.333333015,4322630000.0,2308708.333333015,4436.001953125,-44.13193359374963,4488.567103794643,-43.225655691963766,4655.299495442709,-3.999495442708394,4349.260162353516,1.8336263020837575,0,-1,0,-0.0023335885457021,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,3,1,12.399610201955724
2022-01-26,4408.43017578125,4453.22998046875,4304.7998046875,4349.93017578125,5570640000,2022-01-27 00:00:00-05:00,5574754000.0,220980000.0,5298315714.285714,176021428.5714283,4353966833.333333,17674000.0,4328611583.333333,5981583.333333015,4399.43603515625,-36.56591796875,4443.8642578125,-44.70284598214312,4651.042000325521,-4.257495117187318,4350.98974609375,1.729583740234375,0,-1,0,-0.0132700298444973,0.25,7.0,58.7,2.0,7.0,1.0,3.0,2.0,3,0,14.565823013408265
2022-01-27,4380.580078125,4428.740234375,4309.5,4326.509765625,5214200000,2022-01-28 00:00:00-05:00,5689420000.0,114666000.0,5364815714.285714,66500000.0,4374677833.333333,20711000.0,4329258291.666667,646708.3333339691,4368.1919921875,-31.244042968750364,4408.064243861607,-35.80001395089312,4646.255997721354,-4.786002604167152,4352.63107808431,1.641331990559593,0,-1,0,-0.0123431854995659,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,3,0,14.03017819086746
2022-01-28,4336.18994140625,4432.72021484375,4292.4599609375,4431.85009765625,5031090000,2022-01-31 00:00:00-05:00,5577818000.0,-111602000.0,5445580000.0,80764285.71428585,4392275166.666667,17597333.33333397,4330510125.0,1251833.3333330154,4374.9740234375,6.782031250000728,4393.648577008928,-14.415666852678442,4642.9426676432295,-3.313330078124636,4354.71657816569,2.0855000813808147,0,1,1,0.0220608777619591,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,3,3,29.56839262956929
2022-01-31,4431.7900390625,4516.89013671875,4414.02001953125,4515.5498046875,5098610000,2022-02-01 00:00:00-05:00,5211918000.0,-365900000.0,5510971428.571428,65391428.5714283,4405257666.666667,12982500.0,4331780791.666667,1270666.6666669846,4396.0580078125,21.083984375,4398.337123325893,4.6885463169646755,4640.525667317708,-2.4170003255212578,4357.223160807292,2.5065826416011987,1,1,1,0.0188997594395781,0.25,7.0,58.7,2.0,7.0,1.0,,2.0,3,3,38.570962827895805
2022-02-01,4519.56982421875,4550.490234375,4483.52978515625,4546.5400390625,4816830000,2022-02-02 00:00:00-05:00,5146274000.0,-65644000.0,5400647142.857142,-110324285.71428584,4411166500.0,5908833.333333015,4331662083.333333,-118708.33333396912,4434.0759765625,38.017968749999454,4419.565708705357,21.22858537946377,4638.3003336588545,-2.2253336588537422,4359.8891194661455,2.665958658853924,1,1,1,0.0059674296211171,0.25,7.0,57.6,0.0,7.0,1.0,2.0,2.0,3,3,37.48218966710735
2022-02-02,4566.39013671875,4595.31005859375,4544.31982421875,4589.3798828125,4481580000,2022-02-03 00:00:00-05:00,4928462000.0,-217812000.0,5051142857.142858,-349504285.7142849,4411406500.0,240000.0,4325680750.0,-5981333.333333015,4481.96591796875,47.88994140624982,4445.1728515625,25.607142857143117,4636.497835286458,-1.8024983723962575,4362.859452311198,2.970332845052326,1,1,1,0.0050345558319442,0.25,7.0,57.6,0.0,7.0,1.0,,2.0,2,2,40.142211639088586
2022-02-03,4535.41015625,4542.8798828125,4470.39013671875,4477.43994140625,4401970000,2022-02-04 00:00:00-05:00,4766016000.0,-162446000.0,4944988571.428572,-106154285.71428584,4413610833.333333,2204333.333333015,4317786416.666667,-7894333.333333015,4512.151953125,30.18603515625,4462.457101004465,17.284249441964675,4632.760164388021,-3.7376708984375,4365.343076578776,2.483624267578307,1,-1,0,-0.0127816918088134,0.25,7.0,57.6,0.0,7.0,1.0,,2.0,2,0,37.719638882835035
2022-02-04,4482.7900390625,4539.66015625,4451.5,4500.52978515625,4706290000,2022-02-07 00:00:00-05:00,4701056000.0,-64960000.0,4821510000.0,-123478571.4285717,4423431000.0,9820166.666666985,4312342666.666667,-5443750.0,4525.887890625,13.735937500000546,4483.971330915178,21.51422991071377,4629.681494140625,-3.078670247396076,4367.739325968424,2.396249389647892,1,1,1,0.0039573002391742,0.25,7.0,57.6,0.0,7.0,1.0,,2.0,2,2,39.30160769386234
2022-02-07,4505.75,4521.85986328125,4471.47021484375,4483.8701171875,4228480000,2022-02-08 00:00:00-05:00,4527030000.0,-174026000.0,4680692857.142858,-140817142.85714245,4418843666.666667,-4587333.333333015,4302680208.333333,-9662458.33333397,4519.551953125,-6.3359375,4506.451381138393,22.480050223214675,4626.967496744792,-2.7139973958328483,4370.466534423828,2.727208455404252,1,-1,0,-0.0048559913027797,0.25,7.0,57.6,0.0,7.0,1.0,,2.0,2,0,43.23898491478051
2022-02-08,4480.02001953125,4531.31982421875,4465.39990234375,4521.5400390625,4459620000,2022-02-09 00:00:00-05:00,4455588000.0,-71442000.0,4599054285.714286,-81638571.4285717,4427722833.333333,8879166.66666603,4294070000.0,-8610208.333333015,4514.551953125,-5.0,4519.264229910715,12.812848772321558,4624.8386637369795,-2.128833007812318,4373.426493326823,2.959958902994913,1,1,1,0.0092678200879098,0.25,7.0,57.6,0.0,7.0,1.0,,2.0,2,3,49.17847458984509
2022-02-09,4547.0,4590.02978515625,4547.0,4587.18017578125,4524350000,2022-02-10 00:00:00-05:00,4464142000.0,8554000.0,4517017142.857142,-82037142.8571434,4440985333.333333,13262500.0,4291609708.3333335,-2460291.6666665077,4514.11201171875,-0.43994140625,4529.497140066965,10.23291015625,4623.244165039063,-1.594498697916606,4376.282160441081,2.8556671142578125,1,1,1,0.0088366342162414,0.25,7.0,57.6,0.0,7.0,1.0,,2.0,2,3,57.47707390458774
2022-02-10,4553.240234375,4588.919921875,4484.31005859375,4504.080078125,5314860000,2022-02-11 00:00:00-05:00,4646720000.0,182578000.0,4588164285.714286,71147142.8571434,4471426166.666667,30440833.33333397,4290688250.0,-921458.3333334924,4519.4400390625,5.328027343749454,4523.431431361607,-6.0657087053577925,4620.2655029296875,-2.978662109375364,4378.922952270508,2.640791829427144,1,-1,0,-0.0107967411600341,0.25,7.0,57.6,0.0,7.5,2.0,1.0,2.0,3,0,57.61647646644546
2022-02-11,4506.27001953125,4526.330078125,4401.41015625,4418.64013671875,5251500000,2022-02-14 00:00:00-05:00,4755762000.0,109042000.0,4698152857.142858,109988571.4285717,4492740500.0,21314333.333333015,4286845916.6666665,-3842333.333333492,4503.062109375,-16.3779296875,4499.0400390625,-24.391392299106883,4615.561173502604,-4.704329427083394,4381.41845296224,2.4955006917316496,1,-1,0,-0.0194462121516667,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,3,0,50.552592514620926
2022-02-14,4412.60986328125,4426.22021484375,4364.83984375,4401.669921875,4600390000,2022-02-15 00:00:00-05:00,4830144000.0,74382000.0,4726498571.428572,28345714.28571415,4503262500.0,10522000.0,4276033375.0,-10812541.666666508,4486.6220703125,-16.440039062499636,4488.215750558035,-10.824288504464675,4610.777840169271,-4.783333333332848,4384.056786092123,2.6383331298829944,1,-1,0,-0.0024792451055518,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,2,1,53.083217919352265
2022-02-15,4429.27978515625,4472.77001953125,4429.27978515625,4471.06982421875,4430830000,2022-02-16 00:00:00-05:00,4824386000.0,-5758000.0,4687147142.857142,-39351428.57142925,4506669500.0,3407000.0,4265949041.6666665,-10084333.333333492,4476.52802734375,-10.094042968749818,4484.007184709822,-4.208565848213766,4606.886669921875,-3.891170247396076,4386.678160603841,2.621374511718386,1,1,1,0.0094349512989786,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,2,3,57.607361135471336
2022-02-16,4455.75,4489.5498046875,4429.68017578125,4475.009765625,4283640000,2022-02-17 00:00:00-05:00,4776244000.0,-48142000.0,4695027142.857142,7880000.0,4507177166.666667,507666.66666698456,4259332083.3333335,-6616958.333333015,4454.0939453125,-22.43408203125,4482.741420200893,-1.2657645089284415,4603.170833333334,-3.715836588541606,4389.401742553711,2.723581949870095,1,1,1,0.004322452028278,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,2,2,59.55943276072123
2022-02-17,4456.06005859375,4456.06005859375,4373.81005859375,4380.259765625,4539420000,2022-02-18 00:00:00-05:00,4621156000.0,-155088000.0,4706427142.857142,11400000.0,4508815833.333333,1638666.666666031,4255273166.6666665,-4058916.666666985,4429.3298828125,-24.764062500000364,4462.558523995535,-20.182896205357792,4598.126163736979,-5.044669596354652,4391.505158487956,2.1034159342443672,1,-1,0,-0.0170106084684754,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,2,0,46.633053606903104
2022-02-18,4384.56982421875,4394.60009765625,4327.22021484375,4348.8701171875,4708060000,2022-02-21 00:00:00-05:00,4512468000.0,-108688000.0,4732671428.571428,26244285.71428585,4515990333.333333,7174500.0,4250526000.0,-4747166.666666508,4415.37587890625,-13.954003906249454,4428.514229910715,-34.04429408482065,4592.4289957682295,-5.697167968749454,4393.380408732096,1.8752502441402612,1,-1,0,-0.0081421230502609,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,2,0,38.32479878952215
2022-02-22,4332.740234375,4362.1201171875,4267.10986328125,4304.759765625,5121900000,2022-02-23 00:00:00-05:00,4616770000.0,104302000.0,4705105714.285714,-27565714.28571415,4544381500.0,28391166.666666985,4249730250.0,-795750.0,4395.99384765625,-19.382031250000185,4400.039899553572,-28.474330357143117,4585.817325846354,-6.611669921875546,4394.902990722656,1.5225819905599565,1,-1,0,-0.0064579151383249,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,3,0,33.3699854645305
2022-02-23,4324.93017578125,4341.509765625,4221.509765625,4225.5,4797430000,2022-02-24 00:00:00-05:00,4690090000.0,73320000.0,4640238571.428572,-64867142.85714245,4565710333.333333,21328833.333333015,4251068375.0,1338125.0,4346.8798828125,-49.11396484375018,4372.448451450893,-27.59144810267844,4579.6653238932295,-6.152001953124454,4396.078657023112,1.1756663004562142,0,-1,0,-0.0229900071770035,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,3,0,26.165886296182578
2022-02-24,4155.77001953125,4294.72998046875,4114.64990234375,4288.7001953125,6752130000,2022-02-25 00:00:00-05:00,5183788000.0,493698000.0,4947630000.0,307391428.5714283,4605972333.333333,40262000.0,4258785166.6666665,7716791.666666508,4309.61796875,-37.26191406250018,4356.309919084822,-16.13853236607156,4573.555826822917,-6.1094970703125,4397.410991414388,1.332334391276163,1,1,1,0.0319868941631769,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,3,3,36.79439113765859
2022-02-25,4298.3798828125,4385.33984375,4286.830078125,4384.64990234375,5177060000,2022-02-28 00:00:00-05:00,5311316000.0,127528000.0,5054234285.714286,106604285.71428584,4581823500.0,-24148833.333333015,4261135083.3333335,2349916.666666985,4310.49599609375,0.8780273437505457,4343.964215959822,-12.345703125,4570.516658528646,-3.039168294270894,4399.16907450358,1.7580830891920414,1,1,1,0.0200703571771795,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,3,3,42.64235551769081
2022-02-28,4354.169921875,4388.83984375,4315.1201171875,4373.93994140625,6071370000,2022-03-01 00:00:00-05:00,5583978000.0,272662000.0,5309624285.714286,255390000.0,4593567500.0,11744000.0,4267425541.6666665,6290458.333333015,4315.5099609375,5.013964843749818,4329.525669642857,-14.438546316964675,4568.198323567708,-2.3183349609380457,4400.834990437826,1.6659159342452767,1,1,0,0.0045404795600481,0.25,7.0,57.6,0.0,7.5,2.0,,2.0,3,2,42.96698744762031
2022-03-01,4363.14013671875,4378.4501953125,4279.5400390625,4306.259765625,5846230000,2022-03-02 00:00:00-05:00,5728844000.0,144866000.0,5496311428.571428,186687142.85714245,4606385000.0,12817500.0,4270457375.0,3031833.3333334923,4315.8099609375,0.3000000000001819,4318.954241071428,-10.571428571428442,4563.684318033854,-4.514005533854288,4402.4633229573565,1.6283325195308862,1,-1,0,-0.0130365675434221,0.25,7.0,58.6,0.0,7.5,2.0,2.0,2.0,3,0,36.736312253539936
2022-03-02,4322.56005859375,4401.47998046875,4322.56005859375,4386.5400390625,5337870000,2022-03-03 00:00:00-05:00,5836932000.0,108088000.0,5586284285.714286,89972857.14285755,4608015000.0,1630000.0,4260375916.6666665,-10081458.333333492,4348.01796875,32.2080078125,4324.335658482143,5.3814174107146755,4561.152815755208,-2.5315022786453483,4404.435989379883,1.9726664225263448,1,1,1,0.0148014092578194,0.25,7.0,58.6,0.0,7.5,2.0,,2.0,3,3,37.85736195321915
2022-03-03,4401.31005859375,4416.77978515625,4345.56005859375,4363.490234375,5039890000,2022-03-04 00:00:00-05:00,5494484000.0,-342448000.0,5574568571.428572,-11715714.28571415,4612499833.333333,4484833.333333015,4263391041.6666665,3015125.0,4362.9759765625,14.9580078125,4332.725725446428,8.390066964285325,4557.349820963542,-3.802994791666606,4406.198073323568,1.7620839436849565,1,-1,0,-0.008592856153114,0.25,7.0,58.6,0.0,7.5,2.0,,2.0,3,0,40.82467301537124
2022-03-04,4342.1201171875,4342.1201171875,4284.97998046875,4328.8701171875,5797380000,2022-03-07 00:00:00-05:00,5618548000.0,124064000.0,5717418571.428572,142850000.0,4634249500.0,21749666.666666985,4268092583.3333335,4701541.666666985,4351.82001953125,-11.155957031250182,4347.492885044643,14.767159598214675,4551.38515625,-5.964664713541424,4407.941198730468,1.7431254069006172,1,-1,0,-0.0030515047125371,0.25,7.0,58.6,0.0,7.5,2.0,,2.0,3,1,43.725097357939326
